field,from,to,type,RefDate,original
Municipio,Grão Pará,Grão-Pará,translation,2021-02-18,GRAO PARA
Municipio,Atílio Vivacqua,Atílio Vivácqua,translation,2020-09-11,ATILIO VIVACQUA
Municipio,Pingo d'Água,Pingo-d'Água,translation,2020-09-11,PINGODAGUA
Municipio,Amparo de São Francisco,Amparo do São Francisco,translation,2020-07-14,AMPARO DE SAO FRANCISCO
Municipio,Ererê,Ereré,translation,2020-01-21,ERERE
Municipio,Fortaleza do Tabocão,Tabocão,translation,2019-09-26,FORTALEZA DO TABOCAO
Municipio,São Thomé das Letras,São Tomé das Letras,translation,2019-09-23,SAO THOME DAS LETRAS
Municipio,Augusto Severo,Campo Grande,translation,2019-06-12,AUGUSTO SEVERO
Municipio,Xavantes,Chavantes,translation,2019-06-11,CHAVANTES
Municipio,Dona Eusébia,Dona Euzébia,translation,2019-03-19,DONA EUSEBIA
Municipio,São Luís do Paraitinga,São Luiz do Paraitinga,translation,2017-06-05,SAO LUIS DO PARAITINGA
Municipio,Trajano de Morais,Trajano de Moraes,translation,2016-11-30,TRAJANO DE MORAES
Municipio,Araças,Araçás,translation,2016-09-01,ARACAS
Municipio,Biritiba-Mirim,Biritiba Mirim,translation,2016-09-01,BIRITIBAMIRIM
Municipio,Florínia,Florínea,translation,2016-09-01,FLORINIA
Municipio,Itaóca,Itaoca,translation,2016-09-01,ITAOCA
Municipio,Iuiú,Iuiu,translation,2016-09-01,IUIU
Municipio,Lauro Muller,Lauro Müller,translation,2016-09-01,LAURO MULLER
Municipio,Muquém de São Francisco,Muquém do São Francisco,translation,2016-09-01,MUQUEM DE SAO FRANCISCO
Municipio,Passa-Vinte,Passa Vinte,translation,2016-09-01,PASSAVINTE
Municipio,São Cristovão do Sul,São Cristóvão do Sul,translation,2016-09-01,SAO CRISTOVAO DO SUL
Municipio,São Vicente Ferrer,São Vicente Férrer,translation,2016-09-01,SAO VICENTE FERRER
Municipio,Trajano de Moraes,Trajano de Morais,translation,2016-09-01,TRAJANO DE MORAES
Municipio,Restinga Seca,Restinga Sêca,translation,2016-05-13,RESTINGA SECA
Municipio,São Luíz do Norte,São Luiz do Norte,translation,2016-05-13,SAO LUIZ DO NORTE
Municipio,Vespasiano Correa,Vespasiano Corrêa,translation,2016-05-13,VESPASIANO CORREA
Municipio,Westfalia,Westfália,translation,2016-05-13,WESTFALIA
Municipio,Poxoréo,Poxoréu,translation,2015-10-29,POXOREO
Municipio,Quixabá,Quixaba,translation,2015-09-21,QUIXABA
Municipio,Itapagé,Itapajé,translation,2015-09-08,ITAPAGE
Municipio,Moji Mirim,Mogi Mirim,translation,2014-12-16,MOGI MIRIM
Municipio,Presidente Juscelino,Serra Caiada,translation,2014-02-25,SERRA CAIADA
Municipio,Santa Isabel do Pará,Santa Izabel do Pará,translation,2014-01-01,SANTA IZABEL DO PARA
Municipio,Embu,Embu das Artes,translation,2011-09-06,EMBU DAS ARTES
Municipio,Santarém,Joca Claudino,translation,2010-11-09,JOCA CLAUDINO
Municipio,Campo de Santana,Tacima,translation,2009-12-23,TACIMA
Municipio,Brasópolis,Brazópolis,translation,2009-01-12,BRAZOPOLIS
Municipio,São Valério da Natividade,São Valério,translation,2007-12-14,SAO VALERIO
Municipio,Belém de São Francisco,Belém do São Francisco,translation,2007-04-04,BELEM DE SAO FRANCISCO
Municipio,Parati,Paraty,translation,2007-03-22,PARATY
Municipio,Piçarras,Balneário Piçarras,translation,2004-07-20,BALNEARIO PICARRAS
Municipio,Vila Alta,Alto Paraíso,translation,2004-02-18,ALTO PARAISO
Municipio,Presidente Castelo Branco,Presidente Castello Branco,translation,2003-12-22,PRESIDENTE CASTELLO BRANCO
Municipio,Moji das Cruzes,Mogi das Cruzes,translation,2003-09-09,MOGI DAS CRUZES
Municipio,Moji-Mirim,Moji Mirim,translation,2003-09-09,Moji Mirim
Municipio,Governador Lomanto Júnior,Barro Preto,translation,2003-05-21,BARRO PRETO
Municipio,São Domingos de Pombal,São Domingos,translation,2003-03-17,SAO DOMINGOS
